Observatory	event	ARMS ID	Deployment Date 	Retrieval Date	Latitude	Longitude
Roscoff	MarBloR2_20190612_20190917	MarBloR2	20190612	20190917	48.71751	-3.96649
Roscoff	MarBloR3_20190612_20190918	MarBloR3	20190612	20190918	48.71751	-3.96649
Svalbard	S1_20180706_20190806	S1	20180706	20190806	78.21302778	15.23361111
Svalbard	S1_20190806_20200804	S1	20190806	20200804	78.21302778	15.23361111
Svalbard	S2_20180708_20190805	S2	20180708	20190805	78.18833333	15.14472222
Svalbard	S2_20190805_20200801	S2	20190805	20200801	78.18833333	15.14472222
SWC	Bjorko1_20200131_20200518	Bjorko1	20200131	20200518	57.717984	11.679989
SWC	Gbg1_20200206_20200520	Gbg1	20200206	20200520	57.664805	11.714735
SWC	Gbg2_20200206_20200520	Gbg2	20200206	20200520	57.664608	11.732876
SWC	Gbg3_20200206_20200529	Gbg3	20200206	20200529	57.680533	11.740578
SWC	Gbg4_20200206_20200529	Gbg4	20200206	20200529	57.680805	11.728331
SWC	Helsingborg1_20200305_20200604	Helsingborg1	20200305	20200604	56.026272	12.695728
SWC	Helsingborg2_20200305_20200604	Helsingborg2	20200305	20200604	56.018061	12.700541
SWC	Hjuvik1_20200131_20200518	Hjuvik1	20200131	20200518	57.703221	11.711363
SWC	Marstrand1_20200228_20200527	Marstrand1	20200228	20200527	57.914434	11.594154
SWC	Marstrand2_20200228_20200527	Marstrand2	20200228	20200527	57.903512	11.581548
SWC	Marstrand3_20200228_20200527	Marstrand3	20200228	20200527	57.889278	11.585722
SWC	Preemraff1_20200401_20200715	Preemraff1	20200401	20200715	58.3533	11.43486
SWC	Preemraff2_20200401_20200715	Preemraff2	20200401	20200715	58.35405	11.43394
SWC	Varberg1_20200213_20200603	Varberg1	20200213	20200603	57.1133741	12.2299832
SWC	Varberg2_20200213_20200603	Varberg2	20200213	20200603	57.1126278	12.2302732
SWC	Varberg3_20200213_20200603	Varberg3	20200213	20200603	57.1107004	12.2439775
TZS	Angbat_20180711_20181106	Angbat	20180711	20181106	59.841505	23.248879
TZS	Angbat_20200608_20201117	Angbat	20200608	20201117	59.841505	23.248879
